1	48000000	52000000	LRLD_1
2	86000000	100500000	LRLD_2
2	134500000	138000000	LRLD_3
2	183000000	190000000	LRLD_4
3	47500000	50000000	LRLD_5
3	83500000	87000000	LRLD_6
3	89000000	97500000	LRLD_7
5	44500000	50500000	LRLD_8
5	98000000	100500000	LRLD_9
5	129000000	132000000	LRLD_10
5	135500000	138500000	LRLD_11
6	25000000	35000000	LRLD_12
6	57000000	64000000	LRLD_13
6	140000000	142500000	LRLD_14
7	55000000	66000000	LRLD_15
8	7000000		13000000	LRLD_16
8	43000000	50000000	LRLD_17
8	112000000	115000000	LRLD_18
10	37000000	43000000	LRLD_19
11	46000000	57000000	LRLD_20
11	87500000	90500000	LRLD_21
12	33000000	40000000	LRLD_22
12	109500000	112000000	LRLD_23
17	43000000	45000000	LRLD_24
20	32000000	34500000	LRLD_25
